time_myr,rip_field
0,0.000000000000e0
100,1.771748487590e-20
200,4.822647210640e-20
300,1.677903853093e-19
400,2.451734769060e-19
500,3.423640344253e-19
600,4.786442406009e-19
700,6.725470957043e-19
800,9.992419138272e-19
900,1.205411694628e-18
1000,1.583338662718e-18
1100,2.132282367696e-18
1200,2.744897256293e-18
1300,3.640399746442e-18
1400,4.379109997433e-18
1500,5.328892183776e-18
1600,6.448030656419e-18
1700,7.384045457320e-18
1800,8.581278356624e-18
1900,9.833377111054e-18
2000,1.154019642357e-17
2100,1.326839939250e-17
2200,1.491152868421e-17
2300,1.675382881193e-17
2400,1.881337816176e-17
2500,2.050897880207e-17
2600,2.259979381995e-17
2700,2.487729754373e-17
2800,2.712407893429e-17
2900,2.921608431273e-17
3000,3.130581935255e-17
3100,3.385572026243e-17
3200,3.641166253963e-17
3300,3.913103917884e-17
3400,4.177336545268e-17
3500,4.431196095207e-17
3600,4.708621396327e-17
3700,4.998378801370e-17
3800,5.254169486687e-17
3900,5.535370467821e-17
4000,5.791787255515e-17
4100,6.072774844230e-17
4200,6.335292019631e-17
4300,6.633136380353e-17
4400,6.906773839612e-17
4500,7.168914452670e-17
4600,7.409975546746e-17
4700,7.628701595529e-17
4800,7.847854430665e-17
4900,8.064913195627e-17
5000,8.275204025976e-17
5100,8.489538262232e-17
5200,8.707680043070e-17
5300,8.937955793671e-17
5400,9.116700611470e-17
5500,9.315031176100e-17
5600,9.499969008220e-17
5700,9.698632155387e-17
5800,9.865455354501e-17
5900,9.982663324160e-17
6000,1.009012316768e-16
6100,1.020767562752e-16
6200,1.034027334852e-16
6300,1.044743356499e-16
6400,1.056349716429e-16
6500,1.062041384103e-16
6600,1.069341606252e-16
6700,1.071815464158e-16
6800,1.077212022115e-16
6900,1.084521081692e-16
7000,1.087218771087e-16
7100,1.097583168771e-16
7200,1.100348841241e-16
7300,1.110961554169e-16
7400,1.110439028665e-16
7500,1.112445922709e-16
7600,1.110524437550e-16
7700,1.111264236881e-16
7800,1.113702316790e-16
7900,1.116090452503e-16
8000,1.116077838221e-16
8100,1.120246013000e-16
8200,1.122715752945e-16
8300,1.122180847358e-16
8400,1.120376383097e-16
8500,1.119017661896e-16
8600,1.124938392886e-16
8700,1.128013600528e-16
8800,1.125249138067e-16
8900,1.123024509711e-16
9000,1.125421004008e-16
9100,1.130067378772e-16
9200,1.127403986463e-16
9300,1.124312069775e-16
9400,1.123099711349e-16
9500,1.121488578270e-16
9600,1.123907909344e-16
9700,1.125164952740e-16
9800,1.123308853348e-16
9900,1.121050213346e-16
10000,1.119830146462e-16
10100,1.118450972472e-16
10200,1.128148432893e-16
10300,1.126773175692e-16
10400,1.126155736979e-16
10500,1.127759520507e-16
10600,1.125287250565e-16
10700,1.129514546901e-16
10800,1.127228883096e-16
10900,1.126257487800e-16
11000,1.124961429379e-16
11100,1.127817760196e-16
11200,1.125845314769e-16
11300,1.123388597031e-16
11400,1.125085620439e-16
11500,1.124955347573e-16
11600,1.129175741527e-16
11700,1.133335855811e-16
11800,1.139080213211e-16
11900,1.140869033584e-16
12000,1.135820482266e-16
12100,1.135089912228e-16
12200,1.132072545543e-16
12300,1.129562824798e-16
12400,1.132393095429e-16
12500,1.123251526019e-16
12600,1.126408994294e-16
12700,1.121098113925e-16
12800,1.124604616080e-16
12900,1.128651960511e-16
13000,1.118708732823e-16
13100,1.121224486785e-16
13200,1.116524819603e-16
13300,1.117492270594e-16
13400,1.119696194927e-16
13500,1.114091720661e-16
13600,1.119723509322e-16
13700,1.124930433458e-16
13800,1.129343595697e-16
