time_myr,rip_mean,rip_std
0,0.0,0.0
100,1.4319531070357486e-20,1.463973893733016e-20
200,5.576530149389579e-20,2.9835496737843495e-20
300,1.30391619589118e-19,4.0919855795409355e-20
400,2.39054318549704e-19,5.30287424604631e-20
500,3.9739791506079805e-19,7.272004388446966e-20
600,6.07981610317318e-19,9.948810654165436e-20
700,8.701374542677162e-19,1.2511643162293727e-19
800,1.2152097572565461e-18,1.3744916170795796e-19
900,1.6084253136912201e-18,1.6638394250909534e-19
1000,2.09835182408632e-18,2.1220198676765784e-19
1100,2.6642703642134998e-18,2.335822670840799e-19
1200,3.335294953927001e-18,2.7135145944287436e-19
1300,4.080870632231001e-18,2.8957660576248565e-19
1400,4.89677243264318e-18,3.083744596305476e-19
1500,5.873780348948979e-18,3.205362346035426e-19
1600,6.96835352366822e-18,3.2186730011370384e-19
1700,8.170186498885179e-18,3.4668666872709787e-19
1800,9.491279505008601e-18,3.9645534312797606e-19
1900,1.1012625051191003e-17,4.103705281207309e-19
2000,1.2636023118209197e-17,4.606419951311245e-19
2100,1.44128208222782e-17,4.969888102080561e-19
2200,1.6361634757496002e-17,5.527814442630083e-19
2300,1.84080936896742e-17,5.559043737077968e-19
2400,2.05915041237416e-17,5.658623867070797e-19
2500,2.3044799825626792e-17,6.263977588638798e-19
2600,2.5610963516287604e-17,6.3493594267770595e-19
2700,2.8401962287523207e-17,6.632509096215614e-19
2800,3.13994805521666e-17,6.608776285726696e-19
2900,3.451888857541341e-17,6.711803131031819e-19
3000,3.78999368451316e-17,7.341653770956999e-19
3100,4.14742297706912e-17,7.557276554541399e-19
3200,4.516485481189059e-17,8.319511208864471e-19
3300,4.91351173353708e-17,8.854909672395509e-19
3400,5.32700695848232e-17,9.65327381990619e-19
3500,5.76478350349374e-17,1.0196210636775648e-18
3600,6.227862658101762e-17,1.0344542002550106e-18
3700,6.714454122051581e-17,1.0459720965868813e-18
3800,7.22862014950348e-17,1.1372377603918121e-18
3900,7.763259592087879e-17,1.1679911182628486e-18
4000,8.325729968521422e-17,1.2456552419291068e-18
4100,8.914970622026122e-17,1.2277125351850453e-18
4200,9.523306085593017e-17,1.2997063139966648e-18
4300,1.0171178936114584e-16,1.3496689927444437e-18
4400,1.08460230396716e-16,1.3315640232639608e-18
4500,1.15427093910302e-16,1.3492952826178521e-18
4600,1.2268253731446397e-16,1.4045481046136417e-18
4700,1.3019967858649799e-16,1.4649818948280369e-18
4800,1.3808514224478e-16,1.515145784517743e-18
