time_myr,rip_strength,scale_factor
0,0.000000000000e0,1.000000
100,6.784017932246e-21,1.000000
200,5.230672525554e-20,1.000000
300,1.232958763128e-19,1.000000
400,2.074364695694e-19,1.000000
500,3.402293140205e-19,1.000000
600,5.697799222551e-19,1.000000
700,7.877343118746e-19,1.000000
800,1.084131200974e-18,1.000000
900,1.493901064930e-18,1.000001
1000,1.878052885325e-18,1.000001
1100,2.322464396628e-18,1.000001
1200,3.037270198759e-18,1.000001
1300,3.605600912747e-18,1.000001
1400,4.267047326712e-18,1.000001
1500,5.308324557988e-18,1.000002
1600,6.267226896290e-18,1.000002
1700,7.415605877061e-18,1.000002
1800,8.675063376208e-18,1.000002
1900,1.003946240430e-17,1.000003
2000,1.150090358754e-17,1.000003
2100,1.295201143857e-17,1.000003
2200,1.484168991641e-17,1.000004
2300,1.640548320183e-17,1.000004
2400,1.851286110414e-17,1.000005
2500,2.019627216301e-17,1.000005
2600,2.202498664234e-17,1.000006
2700,2.443097863802e-17,1.000006
2800,2.663640270132e-17,1.000007
2900,2.910965344182e-17,1.000007
3000,3.203857045514e-17,1.000008
3100,3.485290022515e-17,1.000008
3200,3.719189324750e-17,1.000009
3300,3.974855106435e-17,1.000010
3400,4.219155013974e-17,1.000010
3500,4.457827333335e-17,1.000011
3600,4.755466942788e-17,1.000012
3700,5.053045925660e-17,1.000012
3800,5.366580588163e-17,1.000013
3900,5.625220413581e-17,1.000014
4000,5.879488253676e-17,1.000015
4100,6.158644230497e-17,1.000015
4200,6.436029083563e-17,1.000016
4300,6.734896216903e-17,1.000017
4400,6.998870246257e-17,1.000018
4500,7.294113533030e-17,1.000019
4600,7.556654586477e-17,1.000020
4700,7.778889165786e-17,1.000020
4800,8.019271722670e-17,1.000021
4900,8.213729549000e-17,1.000022
5000,8.407446265198e-17,1.000023
5100,8.638091863729e-17,1.000024
5200,8.871004299217e-17,1.000025
5300,9.069781026357e-17,1.000026
5400,9.224764814284e-17,1.000027
5500,9.411193013558e-17,1.000028
5600,9.584500564205e-17,1.000029
5700,9.709292849350e-17,1.000030
5800,9.864549927944e-17,1.000031
5900,9.992048123340e-17,1.000032
6000,1.012339465554e-16,1.000033
6100,1.025288459484e-16,1.000034
6200,1.036535217457e-16,1.000035
6300,1.049642747454e-16,1.000036
6400,1.057776878206e-16,1.000037
6500,1.064453239268e-16,1.000038
6600,1.073217841339e-16,1.000039
6700,1.074662232599e-16,1.000040
6800,1.080943381164e-16,1.000041
6900,1.088580965650e-16,1.000042
7000,1.095162185702e-16,1.000043
7100,1.098058584480e-16,1.000044
7200,1.104258340132e-16,1.000045
7300,1.099866512841e-16,1.000046
7400,1.101122224835e-16,1.000047
7500,1.108366030369e-16,1.000048
7600,1.113205819934e-16,1.000049
7700,1.110478785466e-16,1.000051
7800,1.115621742659e-16,1.000052
7900,1.117626682053e-16,1.000053
8000,1.119640057844e-16,1.000054
8100,1.119243520059e-16,1.000055
8200,1.126528045048e-16,1.000056
8300,1.126730839130e-16,1.000057
8400,1.132462934357e-16,1.000058
8500,1.136824959852e-16,1.000059
8600,1.142400602439e-16,1.000060
8700,1.139874882524e-16,1.000061
8800,1.136016686417e-16,1.000062
8900,1.127985614306e-16,1.000063
9000,1.131832520124e-16,1.000064
9100,1.135587762811e-16,1.000065
9200,1.136181546527e-16,1.000066
9300,1.134145846934e-16,1.000068
9400,1.131900291405e-16,1.000069
9500,1.135764315621e-16,1.000070
9600,1.136181882005e-16,1.000071
9700,1.137323484231e-16,1.000072
9800,1.134803572086e-16,1.000073
9900,1.130786447009e-16,1.000074
10000,1.131293606783e-16,1.000075
10100,1.129687592366e-16,1.000076
10200,1.130195853947e-16,1.000077
10300,1.133992155335e-16,1.000078
10400,1.131538021123e-16,1.000079
10500,1.129751664599e-16,1.000080
10600,1.128838285268e-16,1.000081
10700,1.123510797888e-16,1.000082
10800,1.123350976466e-16,1.000083
10900,1.123486787574e-16,1.000085
11000,1.128292114245e-16,1.000086
11100,1.129154435820e-16,1.000087
11200,1.126366419513e-16,1.000088
11300,1.126912954445e-16,1.000089
11400,1.119667007536e-16,1.000090
11500,1.120401108306e-16,1.000091
11600,1.116884812219e-16,1.000092
11700,1.119811920577e-16,1.000093
11800,1.124971699563e-16,1.000094
11900,1.128499997391e-16,1.000095
12000,1.127627607766e-16,1.000096
12100,1.119617872485e-16,1.000097
12200,1.118785285941e-16,1.000098
12300,1.116722916213e-16,1.000099
12400,1.121135627404e-16,1.000100
12500,1.129660452491e-16,1.000101
12600,1.133673892037e-16,1.000103
12700,1.126820538877e-16,1.000104
12800,1.122804057174e-16,1.000105
12900,1.125937841715e-16,1.000106
13000,1.120992819436e-16,1.000107
13100,1.114685968961e-16,1.000108
13200,1.117652939338e-16,1.000109
13300,1.123054963362e-16,1.000110
13400,1.125738861359e-16,1.000111
13500,1.126700950294e-16,1.000112
13600,1.122583475740e-16,1.000113
13700,1.129061203761e-16,1.000114
13800,1.127515911318e-16,1.000115
