time_myr,rip_field
0,0.000000000000e0
100,3.844336492114e-20
200,6.482692090710e-20
300,1.015490347419e-19
400,1.622467461949e-19
500,2.895330141409e-19
600,4.767256953569e-19
700,7.005034046237e-19
800,1.063857471468e-18
900,1.434408641558e-18
1000,1.772117792190e-18
1100,2.320846089947e-18
1200,2.971736362609e-18
1300,3.746263185677e-18
1400,4.622457782639e-18
1500,5.279744953011e-18
1600,6.367850274428e-18
1700,7.571741714365e-18
1800,8.926731155767e-18
1900,1.039621986416e-17
2000,1.169379061583e-17
2100,1.317939449648e-17
2200,1.451580373176e-17
2300,1.600312710214e-17
2400,1.814957697413e-17
2500,2.020792176574e-17
2600,2.221453400262e-17
2700,2.437037151928e-17
2800,2.682416103629e-17
2900,2.898829322637e-17
3000,3.141954538287e-17
3100,3.410548415309e-17
3200,3.653806387323e-17
3300,3.927381774667e-17
3400,4.210453803656e-17
3500,4.517682469573e-17
3600,4.773355125274e-17
3700,5.044693915249e-17
3800,5.303212903789e-17
3900,5.616011198921e-17
4000,5.850537087508e-17
4100,6.115185496371e-17
4200,6.390325852646e-17
4300,6.681112756041e-17
4400,7.000479854610e-17
4500,7.276138499457e-17
4600,7.542192980112e-17
4700,7.785402681170e-17
4800,8.065016130776e-17
4900,8.285049627469e-17
5000,8.540031905561e-17
5100,8.751784026966e-17
5200,8.920297115738e-17
5300,9.142639694676e-17
5400,9.291291386451e-17
5500,9.443411653184e-17
5600,9.600323431824e-17
5700,9.785619654137e-17
5800,9.928795695324e-17
5900,1.007767540999e-16
6000,1.021563408036e-16
6100,1.033407063158e-16
6200,1.040470566682e-16
6300,1.052763699137e-16
6400,1.058971346738e-16
6500,1.070572613157e-16
6600,1.076269314242e-16
6700,1.088814497917e-16
6800,1.092655574197e-16
6900,1.099605369354e-16
7000,1.100386525892e-16
7100,1.097894337697e-16
7200,1.104744465343e-16
7300,1.110290128360e-16
7400,1.115087138804e-16
7500,1.111264717492e-16
7600,1.118943515701e-16
7700,1.120294055525e-16
7800,1.118323703266e-16
7900,1.116992475302e-16
8000,1.121119442738e-16
8100,1.126238317717e-16
8200,1.130353199140e-16
8300,1.130070791087e-16
8400,1.127600297166e-16
8500,1.125927671240e-16
8600,1.127853296300e-16
8700,1.124833493688e-16
8800,1.128954278917e-16
8900,1.131082280079e-16
9000,1.131875627750e-16
9100,1.127575318540e-16
9200,1.123803839161e-16
9300,1.120384632294e-16
9400,1.119726810250e-16
9500,1.119487340041e-16
9600,1.116506440969e-16
9700,1.122075903461e-16
9800,1.122153887140e-16
9900,1.121868280400e-16
10000,1.122023165207e-16
10100,1.126914284611e-16
10200,1.127206812311e-16
10300,1.128442071409e-16
10400,1.121350783347e-16
10500,1.118994104677e-16
10600,1.117951513811e-16
10700,1.119839206974e-16
10800,1.120644047048e-16
10900,1.118346505035e-16
11000,1.127225650553e-16
11100,1.112096919653e-16
11200,1.120159800018e-16
11300,1.125675079633e-16
11400,1.126097545224e-16
11500,1.129590755554e-16
11600,1.131337845443e-16
11700,1.130579358214e-16
11800,1.135577927267e-16
11900,1.136775660680e-16
12000,1.137372878510e-16
12100,1.135473351546e-16
12200,1.134547861426e-16
12300,1.135095133124e-16
12400,1.134657088765e-16
12500,1.135762656133e-16
12600,1.137385298300e-16
12700,1.130745283090e-16
12800,1.125185713850e-16
12900,1.122528486014e-16
13000,1.126909688006e-16
13100,1.125432805043e-16
13200,1.118079460689e-16
13300,1.115147783869e-16
13400,1.121002488056e-16
13500,1.129558909476e-16
13600,1.130689538205e-16
13700,1.129685145512e-16
13800,1.125641509907e-16
