time,rip_strength,scale_factor
0.000000,10000.000000,2.718282
0.010000,9512.294245,7.208853
0.020000,9048.374180,18.662932
0.030000,8607.079764,47.194758
0.040000,8187.307531,116.643263
0.050000,7788.007831,281.918252
0.060000,7408.182207,666.689966
0.070000,7046.880897,1543.460328
0.080000,6703.200460,3499.981262
0.090000,6376.281516,7777.802424
0.100000,6065.306597,16946.725284
0.110000,5769.498104,36221.278131
0.120000,5488.116361,75979.605873
0.130000,5220.457768,156490.031920
0.140000,4965.853038,316613.062052
0.150000,4723.665527,629527.591069
0.160000,4493.289641,1230640.111306
0.170000,4274.149319,2366244.820993
0.180000,4065.696597,4476906.911619
0.190000,3867.410235,8337950.501352
0.200000,3678.794412,15292279.644396
0.210000,3499.377491,27630036.694647
0.220000,3328.710837,49198015.011397
0.230000,3166.367694,86362896.610295
0.240000,3011.942119,149510972.126557
0.250000,2865.047969,255348993.339225
0.260000,2725.317930,430383635.952604
0.270000,2592.402606,716109729.117566
0.280000,2465.969639,1176640604.622041
0.290000,2345.702881,1909779904.057190
0.300000,2231.301601,3062876645.767660
0.310000,2122.479738,4855239036.650544
0.320000,2018.965180,7609422635.407489
0.330000,1920.499086,11794369920.891121
0.340000,1826.835241,18084174597.870975
0.350000,1737.739435,27437185926.236919
0.360000,1652.988882,41201262687.088936
0.370000,1572.371663,61252234029.194931
0.380000,1495.686192,90174018844.583130
0.390000,1422.740716,131490380877.713470
0.400000,1353.352832,189959927285.965729
0.410000,1287.349036,271947655918.530334
0.420000,1224.564283,385888070806.882080
0.430000,1164.841578,542856553343.786560
0.440000,1108.031584,757267223471.258301
0.450000,1053.992246,1047716865392.649170
0.460000,1002.588437,1437995531950.273926
0.470000,953.691622,1958285081558.284180
0.480000,907.179533,2646567040533.070801
0.490000,862.935865,3550260723713.293945
0.500000,820.849986,4728111396994.123047
0.510000,780.816660,6252346349213.820312
0.520000,742.735782,8211113998037.202148
0.530000,706.512131,10711217548103.923828
0.540000,672.055127,13881150239699.302734
0.550000,639.278612,17874433892791.093750
0.560000,608.100626,22873256317225.074219
0.570000,578.443209,29092396311461.339844
0.580000,550.232201,36783417528798.710938
0.590000,523.397059,46239104602051.898438
0.600000,497.870684,57798106763353.125000
0.610000,473.589244,71849745976411.281250
0.620000,450.492024,88838938532547.546875
0.630000,428.521269,109271171377735.046875
0.640000,407.622040,133717467366979.968750
0.650000,387.742078,162819267410762.093750
0.660000,368.831674,197293152298848.187500
0.670000,350.843541,237935323051854.406250
0.680000,333.732700,285625756125078.625000
0.690000,317.456364,341331948803342.375000
0.700000,301.973834,406112170772406.187500
0.710000,287.246397,481118140182564.812500
0.720000,273.237224,567597046539977.500000
0.730000,259.911288,666892848433443.750000
0.740000,247.235265,780446781347634.875000
0.750000,235.177459,909797019506304.000000
0.760000,223.707719,1056577445671639.500000
0.770000,212.797364,1222515493907409.750000
0.780000,202.419114,1409429042276097.500000
0.790000,192.547018,1619222345046055.250000
0.800000,183.156389,1853881006982890.750000
0.810000,174.223746,2115466015432691.750000
0.820000,165.726754,2406106858916962.000000
0.830000,157.644165,2727993773601258.500000
0.840000,149.955768,3083369171035945.000000
0.850000,142.642339,3474518311781475.500000
0.860000,135.685590,3903759299728989.500000
0.870000,129.068126,4373432480943692.500000
0.880000,122.773399,4885889338557397.000000
0.890000,116.785670,5443480981513366.000000
0.900000,111.089965,6048546329749516.000000
0.910000,105.672044,6703400101655811.000000
0.920000,100.518357,7410320711350840.000000
0.930000,95.616019,8171538183513503.000000
0.940000,90.952771,8989222192228677.000000
0.950000,86.516952,9865470327635946.000000
0.960000,82.297470,10802296690204844.000000
0.970000,78.283775,11801620907314040.000000
0.980000,74.465831,12865257660615502.000000
0.990000,70.834089,13994906805559020.000000
1.000000,67.379470,15192144156586224.000000
1.010000,64.093334,16458413003028854.000000
1.020000,60.967466,17795016411816774.000000
1.030000,57.994047,19203110363868028.000000
1.040000,55.165644,20683697761642028.000000
1.050000,52.475184,22237623335926224.000000
1.060000,49.915939,23865569470625856.000000
1.070000,47.481510,25568052955253760.000000
1.080000,45.165809,27345422666079232.000000
1.090000,42.963047,29197858168584860.000000
1.100000,40.867714,31125369226077844.000000
1.110000,38.874572,33127796192074176.000000
1.120000,36.978637,35204811257472176.000000
1.130000,35.175168,37355920517596384.000000
1.140000,33.459655,39580466818949840.000000
1.150000,31.827808,41877633340977376.000000
1.160000,30.275547,44246447864318320.000000
1.170000,28.798992,46685787673907640.000000
1.180000,27.394448,49194385042854424.000000
1.190000,26.058405,51770833241262696.000000
1.200000,24.787522,54413593013031432.000000
1.210000,23.578620,57120999463142608.000000
1.220000,22.428677,59891269297978048.000000
1.230000,21.334818,62722508361753568.000000
1.240000,20.294306,65612719413175832.000000
1.250000,19.304541,68559810087866408.000000
1.260000,18.363048,71561600993908312.000000
1.270000,17.467471,74615833890006016.000000
1.280000,16.615573,77720179898160400.000000
1.290000,15.805222,80872247705400496.000000
1.300000,15.034392,84069591711937152.000000
1.310000,14.301156,87309720086068496.000000
1.320000,13.603680,90590102689232208.000000
1.330000,12.940221,93908178837727152.000000
1.340000,12.309119,97261364870783104.000000
1.350000,11.708796,100647061497809168.000000
1.360000,11.137751,104062660900771904.000000
1.370000,10.594557,107505553570716816.000000
1.380000,10.077854,110973134860429408.000000
1.390000,9.586352,114462811238116096.000000
1.400000,9.118820,117972006229753504.000000
1.410000,8.674090,121498166040394864.000000
1.420000,8.251049,125038764847221488.000000
1.430000,7.848641,128591309759479840.000000
1.440000,7.465858,132153345442642064.000000
1.450000,7.101744,135722458406168032.000000
1.460000,6.755388,139296280956125648.000000
1.470000,6.425924,142872494815645904.000000
1.480000,6.112528,146448834417748160.000000
1.490000,5.814416,150023089876474144.000000
1.500000,5.530844,153593109643518976.000000
1.510000,5.261101,157156802858648288.000000
1.520000,5.004514,160712141403149504.000000
1.530000,4.760441,164257161666386912.000000
1.540000,4.528272,167789966036221312.000000
1.550000,4.307425,171308724124625120.000000
1.560000,4.097350,174811673740276896.000000
1.570000,3.897520,178297121620265824.000000
1.580000,3.707435,181763443933282336.000000
1.590000,3.526622,185209086566826080.000000
1.600000,3.354626,188632565211031488.000000
1.610000,3.191019,192032465251704064.000000
1.620000,3.035391,195407441485083872.000000
1.630000,2.887354,198756217666713888.000000
1.640000,2.746536,202077585906595040.000000
1.650000,2.612586,205370405922568128.000000
1.660000,2.485168,208633604163574176.000000
1.670000,2.363965,211866172814123424.000000
1.680000,2.248673,215067168690948032.000000
1.690000,2.139004,218235712042432992.000000
1.700000,2.034684,221370985261018784.000000
1.710000,1.935451,224472231518350048.000000
1.720000,1.841058,227538753332514368.000000
1.730000,1.751268,230569911076274880.000000
1.740000,1.665858,233565121434755488.000000
1.750000,1.584613,236523855820589664.000000
1.760000,1.507331,239445638754097216.000000
1.770000,1.433817,242330046215608736.000000
1.780000,1.363889,245176703976619136.000000
1.790000,1.297372,247985285916019840.000000
1.800000,1.234098,250755512327235776.000000
1.810000,1.173910,253487148221682048.000000
1.820000,1.116658,256180001633552160.000000
1.830000,1.062198,258833921930563424.000000
1.840000,1.010394,261448798134907840.000000
1.850000,0.961117,264024557258297536.000000
1.860000,0.914242,266561162654646304.000000
1.870000,0.869654,269058612393597312.000000
1.880000,0.827241,271516937657791808.000000
1.890000,0.786896,273936201166470976.000000
1.900000,0.748518,276316495627719072.000000
