time_myr,rip_field
0,0.000000000000e0
100,0.000000000000e0
200,0.000000000000e0
300,0.000000000000e0
400,0.000000000000e0
500,0.000000000000e0
600,0.000000000000e0
700,0.000000000000e0
800,0.000000000000e0
900,0.000000000000e0
1000,0.000000000000e0
1100,0.000000000000e0
1200,0.000000000000e0
1300,0.000000000000e0
1400,1.063190925001e-20
1500,1.063190925001e-20
1600,1.063190925001e-20
1700,1.063190925001e-20
1800,1.063190925001e-20
1900,1.063190925001e-20
2000,1.063190925001e-20
2100,2.423354679693e-20
2200,2.423354679693e-20
2300,2.423354679693e-20
2400,4.105954723442e-20
2500,4.105954723442e-20
2600,4.105954723442e-20
2700,4.105954723442e-20
2800,5.118600207419e-20
2900,5.118600207419e-20
3000,5.118600207419e-20
3100,5.118600207419e-20
3200,5.118600207419e-20
3300,5.118600207419e-20
3400,5.118600207419e-20
3500,6.296126395895e-20
3600,9.593001339210e-20
3700,9.593001339210e-20
3800,9.593001339210e-20
3900,1.195470966747e-19
4000,1.310952810870e-19
4100,1.419034360831e-19
4200,1.419034360831e-19
4300,1.844357271951e-19
4400,1.916202945499e-19
4500,2.094202468635e-19
4600,2.094202468635e-19
4700,2.094202468635e-19
4800,2.378997097099e-19
4900,2.378997097099e-19
5000,2.378997097099e-19
5100,2.524567086356e-19
5200,2.652712395905e-19
5300,3.130164222306e-19
5400,3.130164222306e-19
5500,3.379824798332e-19
5600,3.379824798332e-19
5700,3.379824798332e-19
5800,3.379824798332e-19
5900,3.379824798332e-19
6000,3.379824798332e-19
6100,3.379824798332e-19
6200,3.522773826189e-19
6300,3.619608917652e-19
6400,3.837933840349e-19
6500,4.340853564726e-19
6600,4.397277588916e-19
6700,4.872501686825e-19
6800,4.872501686825e-19
6900,4.877427529578e-19
7000,5.250978698559e-19
7100,5.576311756039e-19
7200,5.638678980421e-19
7300,5.638678980421e-19
7400,5.638678980421e-19
7500,5.800958236365e-19
7600,6.071464336054e-19
7700,6.071464336054e-19
7800,6.267849053078e-19
7900,6.624628326635e-19
8000,6.644905189617e-19
8100,6.657748765400e-19
8200,7.021172769402e-19
8300,7.263759202482e-19
8400,7.263759202482e-19
8500,7.767339164751e-19
8600,8.001892916445e-19
8700,8.845670833265e-19
8800,8.981440720439e-19
8900,9.231825431892e-19
9000,9.256797816387e-19
9100,1.005403974041e-18
9200,1.038499219980e-18
9300,1.045727300635e-18
9400,1.087495170918e-18
9500,1.155053649577e-18
9600,1.181131459189e-18
9700,1.241577563859e-18
9800,1.271026938550e-18
9900,1.289131500249e-18
10000,1.319358521889e-18
10100,1.349072943129e-18
10200,1.362355663741e-18
10300,1.425891505224e-18
10400,1.455956148072e-18
10500,1.462859587421e-18
10600,1.526222862134e-18
10700,1.559967776616e-18
10800,1.566239826753e-18
10900,1.645779109738e-18
11000,1.652801726210e-18
11100,1.693639721535e-18
11200,1.701461864053e-18
11300,1.747805585239e-18
11400,1.808245356482e-18
11500,1.895427635917e-18
11600,1.924574249632e-18
11700,1.979149952782e-18
11800,2.007941084296e-18
11900,2.106791111918e-18
12000,2.234181517767e-18
12100,2.291024869243e-18
12200,2.316434404773e-18
12300,2.365212620242e-18
12400,2.397642935306e-18
12500,2.519301632979e-18
12600,2.548402021129e-18
12700,2.564393441403e-18
12800,2.578323461624e-18
12900,2.592715105957e-18
13000,2.614727504537e-18
13100,2.639754855977e-18
13200,2.749835933512e-18
13300,2.802826897478e-18
13400,2.835144898019e-18
13500,2.850747394917e-18
13600,2.871975389837e-18
13700,2.928998807877e-18
13800,2.956720619764e-18
